Document,Word,TF-IDF
9,call claim,0.7098262707632392
9,claim call,0.7043767921605258
10,free call,1.0
12,chance win,1.0
29,let know,1.0
37,let know,1.0
43,please call,1.0
45,lt gt,1.0
52,lt gt,1.0
58,call later,0.5570334664642678
58,sorry call,0.5872451435468843
58,sorry call later,0.5872451435468843
79,lt gt,1.0
81,call later,0.5570334664642678
81,sorry call,0.5872451435468843
81,sorry call later,0.5872451435468843
83,hi hi,1.0
86,call later,1.0
94,customer service,0.7433953999012927
94,please call,0.6688522104363545
96,po box,1.0
115,call claim,0.45635091959461077
115,guaranteed call,0.4403942714786321
115,prize guaranteed,0.44330123046603326
115,prize guaranteed call,0.44633742927741255
115,valid hr,0.44951489644647996
118,selected receive,1.0
121,claim call,0.5680302735593301
121,private account,0.5819542973121311
121,private account statement,0.5819542973121311
122,call landline,0.689910635895894
122,urgent mobile,0.7238945465174629
124,please call,0.6452956357881977
124,selected receive,0.7639329436754941
126,wat time,1.0
160,customer service,0.5988048088442088
160,new year,0.5925961125359138
160,please call,0.5387602883587219
161,selected receive,1.0
165,send stop,1.0
168,call claim,0.45635091959461077
168,guaranteed call,0.4403942714786321
168,prize guaranteed,0.44330123046603326
168,prize guaranteed call,0.44633742927741255
168,valid hr,0.44951489644647996
177,let know,1.0
179,lt gt,1.0
180,let know,1.0
189,customer service,0.7433953999012927
189,please call,0.6688522104363545
192,co uk,1.0
201,lt gt,1.0
202,lt gt,1.0
204,decimal gt,0.5674130024205011
204,lt decimal,0.5674130024205011
204,lt decimal gt,0.5674130024205011
204,lt gt,0.18473617418485577
210,decimal gt,0.5773502691896257
210,lt decimal,0.5773502691896257
210,lt decimal gt,0.5773502691896257
221,let know,1.0
224,call later,0.5570334664642678
224,sorry call,0.5872451435468843
224,sorry call later,0.5872451435468843
231,good morning,1.0
232,lt gt,1.0
237,lt gt,1.0
250,good night,1.0
269,po box,1.0
286,last night,0.7463562579349847
286,let know,0.6655466446773558
300,pls send,1.0
313,po box,1.0
316,great day,1.0
320,free call,1.0
340,call later,0.5570334664642678
340,sorry call,0.5872451435468843
340,sorry call later,0.5872451435468843
356,lt gt,1.0
365,new year,1.0
367,take care,1.0
369,co uk,0.678840635588266
369,customer service,0.734285633438459
374,gt min,0.6384359451581793
374,lt gt,0.41571910924666916
374,lt gt min,0.647747764285712
376,customer service,1.0
379,new year,1.0
384,take care,1.0
402,txt stop,1.0
406,lt gt,1.0
419,co uk,1.0
423,call landline,1.0
425,call land,0.35801661878160773
425,call land line,0.35801661878160773
425,guaranteed call,0.3454983023714088
425,land line,0.35801661878160773
425,prize guaranteed,0.34777887108053
425,prize guaranteed call,0.3501608310716798
425,urgent mobile,0.35801661878160773
425,valid hr,0.352653618975273
426,lt gt,1.0
431,lt gt,1.0
436,lt gt,1.0
437,gt lt,0.47645253666975124
437,lt gt,0.8792001935287318
445,call later,0.5570334664642678
445,sorry call,0.5872451435468843
445,sorry call later,0.5872451435468843
450,new year,1.0
456,free text,1.0
465,call later,0.5570334664642678
465,sorry call,0.5872451435468843
465,sorry call later,0.5872451435468843
467,lt gt,1.0
472,call landline,1.0
474,lt gt,1.0
488,free text,1.0
494,call later,1.0
495,lt gt,1.0
496,free call,1.0
506,claim call,0.7015107521683565
506,prize claim,0.7126588697211217
526,urgent mobile,1.0
532,private account,0.7071067811865476
532,private account statement,0.7071067811865476
536,great day,1.0
542,txt stop,1.0
550,gt min,0.6384359451581793
550,lt gt,0.41571910924666916
550,lt gt min,0.647747764285712
565,call claim,0.45635091959461077
565,guaranteed call,0.4403942714786321
565,prize guaranteed,0.44330123046603326
565,prize guaranteed call,0.44633742927741255
565,valid hr,0.44951489644647996
577,claim call,0.7015107521683565
577,prize claim,0.7126588697211217
580,claim call,1.0
586,take care,1.0
591,call later,1.0
592,chance win,1.0
593,selected receive,1.0
594,private account,0.7071067811865476
594,private account statement,0.7071067811865476
599,customer service,1.0
603,ok lor,1.0
607,take care,1.0
612,txt stop,1.0
615,take care,1.0
622,hi hi,0.867728717406619
622,lt gt,0.4970381001370659
631,selected receive,1.0
632,hi hi,1.0
636,co uk,0.6464009132833142
636,txt stop,0.7629979418756628
642,let know,1.0
649,private account,0.7071067811865476
649,private account statement,0.7071067811865476
651,claim call,0.7015107521683565
651,prize claim,0.7126588697211217
669,decimal gt,0.5773502691896257
669,lt decimal,0.5773502691896257
669,lt decimal gt,0.5773502691896257
673,hi hi,0.7508339192536445
673,send stop,0.6604910489160407
674,every week,0.7096103298849399
674,send stop,0.7045943369915676
675,last night,1.0
676,lt gt,1.0
691,please call,1.0
695,po box,1.0
703,call later,0.5570334664642678
703,sorry call,0.5872451435468843
703,sorry call later,0.5872451435468843
720,customer service,0.6787083343960647
720,prize claim,0.7344079226297328
749,send stop,1.0
753,customer service,1.0
766,happy new,0.590977358538137
766,happy new year,0.590977358538137
766,new year,0.5490824376999984
769,call later,0.5570334664642678
769,sorry call,0.5872451435468843
769,sorry call later,0.5872451435468843
770,pls send,1.0
775,lt gt,1.0
780,happy new,0.590977358538137
780,happy new year,0.590977358538137
780,new year,0.5490824376999984
785,customer service,1.0
790,every week,0.7071067811865475
790,national rate,0.7071067811865475
801,lt gt,1.0
804,co uk,0.6582433004524174
804,every week,0.75280525862238
812,lt gt,1.0
821,take care,1.0
830,lt gt,1.0
834,co uk,0.6464009132833142
834,txt stop,0.7629979418756628
837,good morning,1.0
839,lt gt,1.0
841,txt stop,1.0
843,pls send,1.0
844,last night,1.0
845,await collection,0.6009766686315637
845,call landline,0.5771944912832926
845,po box,0.5528775298316334
847,lt gt,1.0
859,decimal gt,0.5773502691896257
859,lt decimal,0.5773502691896257
859,lt decimal gt,0.5773502691896257
867,guaranteed call,1.0
869,private account,0.7071067811865476
869,private account statement,0.7071067811865476
871,free text,1.0
876,lt gt,1.0
877,po box,1.0
896,lt gt,1.0
901,po box,1.0
911,national rate,1.0
915,ok lor,1.0
923,pls send,1.0
927,gt min,0.6384359451581793
927,lt gt,0.41571910924666916
927,lt gt min,0.647747764285712
936,await collection,0.615930987825368
936,call landline,0.5915570299808597
936,please call,0.5202780972871054
940,await collection,0.7212332848033409
940,call landline,0.692692246882974
948,po box,1.0
953,ok lor,1.0
954,good night,1.0
963,call land,0.38343235008949594
963,call land line,0.38343235008949594
963,guaranteed call,0.37002535379792306
963,land line,0.38343235008949594
963,prize guaranteed,0.3724678209176194
963,prize guaranteed call,0.375018877123708
963,valid hr,0.3776886289564643
967,lt gt,1.0
980,lt gt,1.0
987,lt gt,1.0
988,gt min,0.6384359451581793
988,lt gt,0.41571910924666916
988,lt gt min,0.647747764285712
993,good night,1.0
1003,customer service,0.7433953999012927
1003,please call,0.6688522104363545
1005,lt gt,1.0
1010,lt gt,1.0
1018,co uk,0.6582433004524174
1018,every week,0.75280525862238
1023,call landline,1.0
1025,call later,1.0
1034,happy new,0.590977358538137
1034,happy new year,0.590977358538137
1034,new year,0.5490824376999984
1053,wat time,1.0
1057,please call,1.0
1061,chance win,1.0
1068,free call,1.0
1070,po box,1.0
1073,call land,0.38343235008949594
1073,call land line,0.38343235008949594
1073,guaranteed call,0.37002535379792306
1073,land line,0.38343235008949594
1073,prize guaranteed,0.3724678209176194
1073,prize guaranteed call,0.375018877123708
1073,valid hr,0.3776886289564643
1090,call landline,1.0
1091,decimal gt,0.5
1091,gt min,0.5
1091,lt decimal,0.5
1091,lt decimal gt,0.5
1092,call land,0.35801661878160773
1092,call land line,0.35801661878160773
1092,guaranteed call,0.3454983023714088
1092,land line,0.35801661878160773
1092,prize guaranteed,0.34777887108053
1092,prize guaranteed call,0.3501608310716798
